LosAngeles,1,Old Town Pasadena|Pasadena City College|California Institute of Technology
LosAngeles,2,Coldwater canyon|Woodman|downtown|Beverly Hills|Hollywood|Universal Studios
LosAngeles,3,Echo Park|Echo Park Lake|Dodger Stadium|The Short Stop|Chinatown|Silver Lake|Larchmont Village|Central LA|Koreatown|Silver Lake|Chinatown|Los Feliz|Miracle Mile|Mid???City|Cypress Park|Atwater Village|Northeast Los Angeles|Montecito Heights|Hollywood|Glendale
LosAngeles,4,Glendale|Glendale Galleria|Americana|Brand|Downtown LA|Disney Studios|Burbank Airport
LosAngeles,5,The Grove|Farmers Market|Hollywood|Beverly Hills|Korea Town
LosAngeles,6,Sunset Blvd|Silver Lake|Echo Park|Hollywood|DTLA|Mid-City
LosAngeles,7,Hollywood|West Hollywood|Downtown L.A.
LosAngeles,8,Redondo Beach|Torrance|Torrance Mall|Redondo Beach Pier
LosAngeles,9,Westwood Village|UCLA|Medical Center|Century City|Brentwood|West Los Angeles|Bel Air|Beverly Hills
LosAngeles,10,Sherman Oaks Galleria|Fashion Square Mall|J. Paul Getty Museum|Kester Ave. Elementary School|Sherman Oaks Elementary School|Van Nuys Middle School|Van Nuys High School|University of California - Los Angeles|California State University - Northridge|The Americana at Brand|Glendale Galleria|Century City Westfield Mall|The 3rd St. Promenade|Santa Monica Pier|Universal Studios theme park|Universal City Walk
LosAngeles,11,Sherman Oaks|Sherman Oaks Galleria|Fashion Square|South Park|Balboa|Encino|Valley Village|Studio City|Valley Glen|Universal City|Van Nuys
LosAngeles,12,Sepulveda|Mission Hills|Walgreens|Paseo Sepulveda Plaza|Starbucks|Marshalls|cold stone creamery|Mission Hills|Northridge|Lake Balboa|Granada Hills|Van Nuys
LosAngeles,13,San Fernando Valley|Northridge|Vanalden Park|Northridge Fashion Center|Vons|Granada Hills|Northridge|Lake Balboa|Winnetka|North Hills|Mission Hills|Chatsworth
LosAngeles,14,Burbank|Bob Hope Airport|McCambridge Park
LosAngeles,15,City of Industry|Puente Hills Shopping Center|Hacienda Heights|Brea|Covina|West Covina|La Puente|Walnut|Diamond Bar|Whittier|Pomona|Chino|Chino Hills|Phillip Ranch|La Mirada|La Habra|Downey|City of Industry|El Monte|Norwalk|Paramount|Fullerton|Santa Fe Springs|La Verne|Placentia|Claremont|Montclaire|Glendora|Boyle Heights|Yorba Linda|West Whittier|South Whittier|La Habra Heights|South El Monte|Duarte|Ontario|Los Angeles|Baldwin Park|Artesia|Charter Oak|Whittier Medical Center|Cal Poly Pomona|Mt Sac|University of Phoenix
LosAngeles,16,"Northridge Fashion Center|Westfield Topanga|The Village in Warner Center|California State University, Northridge|Pierce College|Santa Susana Pass|Chatsworth Oaks Park|Chase Park|Lanark Recreation Center"
LosAngeles,17,West Hollywood|Sherman Oaks|Toluca Lake
LosAngeles,18,Beverly Grove|Beverly Center|Cedars-Sinai|Trader Joe's|P.F Chang's|La Paella|Berri's Caf??|Nearby Westwood|Century City|Carthay Circle
LosAngeles,19,UCLA|Century City Market Place|Santa Monica Boulevard|Mar Vista|Culver City|Hollywood|Sunset Strip|Santa Monica|Westwood|Cheviot Hills|Brentwood
NewYork,0,Marie Hernandez Park
NewYork,1,prospect Park
NewYork,2,"Calaca|Willow, Dinghy|Glorietta Baldy|Dynaco|Corner Grind|Daily Press|Stonefruit|Barclays Center"
NewYork,3,Williamsburg|Queens|Ridgewood|Bushwick
NewYork,4,Greenpoint|river
NewYork,5,Sternberg Park|
NewYork,6,Brighton Beach|Ocean Pkwy
NewYork,7,Springdale|springdale train station
NewYork,8,east river|Harlem|East River Plaza mall
NewYork,9,Stamford|UConn Stamford|
NewYork,10,Inwood|The Cloisters Museum|
NewYork,11,Bushwick|Ridgewood|Knockdown Center|
NewYork,12,Clinton Hill|Fort Greene Park|Manhattan|Downtown Brooklyn
NewYork,13,Pratt university|Prospect park|Fort Green park|Brooklyn academy of music|Brooklyn museum|Botanical Garden
NewYork,14,Riverdale|Montefiore|Manhattan College
NewYork,15,Bensonhurst park|Starbucks|CVS|Bath beach|midwood|gravesend|mapleton|new utrecht
NewYork,16,Financial District|SoHo|TriBeCa|LES|East Village|Brooklyn
NewYork,17,Central Park|Upper West Side|Central Park
NewYork,18,Darien river|Springdale|grand central|mid town Manhattan|Westchester county|Greenwich|New Canaan|Westport|Darien|Norwalk|Danbury|Downtown Stamford|Fairfield County
NewYork,19,Union Square|Murray Hill
Richmond,0,Randolph Macon
Richmond,1,Oakwood|Churchhill|Richmond|VCU Hospital|White Oak Villiage Shopping Center
Richmond,2,BELLEVUE|BRYAN PARK|JEFFERSON LAKESIDE COUNTRY CLUB|BELMONT GULF COURSE
Richmond,3,VCU Business School|MCV campus
Richmond,4,Powhatan State Park|James River
Richmond,5,Colonial Heights
Richmond,6,Fort Lee|Chester
Richmond,7,Short Pump|Downtown|Broad street|Parham|Staples Mill|
Richmond,8,VCU
Richmond,9,Innsbrook|West End
Richmond,10,White Oak Mall
Richmond,11,Church Hill|MCV
Richmond,12,Randolph Macon
Richmond,13,Walnut Hill|Petersburg
Richmond,14,Carytown|CBB|NY Deli|DLB|Sugar and Twine|Bryd
Richmond,15,VCU|VCU Medical|Virginia Union|University of Richmond
Richmond,16,Scott's Addition|VCU
Richmond,17,Fort Lee|VSU|Southpark Mall
Richmond,18,
Richmond,19,Henrico|Lakeside District|Henrico County Schools|Lakeside Elementary|
Spokane,0,Sherman
Spokane,1,Spokane River|Cowles Museum|park|Spokane Falls Community College
Spokane,2,Spokane International Airport|Fairchild Air Force Base|Riverfront Park
Spokane,3,South Hill|Manito Park
Spokane,4,South Hill
Spokane,5,Indian Trail Elementary|Salk Jr. High|Shadle Park High|Indian Trail living|Five Mile Plaza
Spokane,6,Spokane Valley|Valley Mall|Industrial Park|Mirabeau park|Centennial Trail
Spokane,7,DOWNTOWN
Spokane,8,Sandpoint West Athletic Club|Traver's Park|Waldorf School|Syringa Heights|Schweitzer Mountain
Spokane,9,South Hill|Huckleberry's
Spokane,10,Sunset Elementary|Fairchild Air Force Base|Northern Quest Resort
Spokane,11,Spokane River|Spokane Community College|Esmeralda Golf Course|
Spokane,12,Central Valley School District|Liberty Lake|
Spokane,13,Post Falls
Spokane,14,Riverfront Park|Spokane Convention Center|INB Performing Arts Center
Spokane,15,Centennial trail|Black Bay|Coeur d Alene
Spokane,16,Centennial Trail|Liberty Lake
Spokane,17,SFCC|Gonzaga|northtown
Spokane,18,Valley Mall|EVERGREEN PARK & RIDE|YMCA|DISCOVERY PARK|MIRABEAU PARK
Spokane,19,Huckleberry's|Maple|Monroe corridors
