city,file_id,annotations
Chicago,3,Lincoln Square neighborhood| Athletic Club|St. Matthias school|Lincoln Square|Mc Phearson school|Walgreens|Western Brown Line|Giddings Plaza| German pubs| HALF ACRE brewery and bar|Ravenswood Metra station| Davis Theater|Lou Malnati's Pizzeria| Core Power Yoga
Chicago,4, West Loop and River North|Fulton Market|the Loop
Chicago,5,Rogers Park's|Clark|Morse|Jarvis Square|Heartland Cafe|Rogers Park Fruit Mart|Jewel Osco|Glenwood Farmer's Market|Jarvis Red Line stop|Howard stop|Jarvis Beach|Jarvis Red Line train stop
Chicago,6,River North|Old Town|Lake Michigan|Lincoln Park
Chicago,7,445 W. BARRY|Lakeview|Vintage Elevator Building|Lake Shore Drive|Lakefront|John Hancock Building
Chicago,8,Old Town|Ashland and Irving Park|Lincoln Square|Ravenswood and Albany Park|Lincoln Park
Chicago,9,Lakefront trail|Hickory Park|Wrigley Field|Lawrence Red Line stop|Andersonville|Lakeshore Drive|Green Mill Jazz club|Gooseberry Park|Lawrence Red line|Uptown|Chase Park
LosAngeles,0,Hollywood Hills|Sherman Oaks|Studio City|Burbank|Valley Glen|Van Nuys|Valley Village
LosAngeles,1,Old Town Pasadena|Pasadena City College|California Institute of Technology
LosAngeles,10,California State University - Northridge|Sherman Oaks Elementary School|Century City Westfield Mall|The Americana at Brand|Van Nuys Middle School|Kester Ave|J. Paul Getty Museum|Van Nuys High School|Fashion Square Mall|The 3rd St|Sherman Oaks Galleria|Promenade and Santa Monica Pier|Glendale Galleria|University of California - Los Angeles|Universal City Walk|Ventura Boulevard
LosAngeles,11,Sherman Oaks|Studio City|Sherman Oaks Galleria and Fashion Square|Universal City|Valley Village|Valley Glen|Encino|Van Nuys|South Park Apartments|Ventura Boulevard|South Park
LosAngeles,12,Sepulveda Landmark|Mission Hills|Paseo Sepulveda Plaza
LosAngeles,13,Chatsworth|Mission Hills|Northridge|Sophia Ridge|Granada Hills|North Hills|Northridge Fashion Center|Vanalden Park|Winnetka|CSUN|San Fernando Valley
LosAngeles,14,downtown Burbank|McCambridge Park|Bob Hope Airport|Town Center|San Fernando Blvd
LosAngeles,15,Rowland Heights|City of Industry|Pheasant Ridge|Puente Hills Shopping Center
LosAngeles,16,Amtrak stations|Lanark Recreation Center|Northridge and Pierce College|The Village in Warner Center|California State University|Orange Line BRT|Northridge Fashion Center|Pacific Oaks Apartments|Westfield Topanga|Santa Susana Pass|Chase Park|Chatsworth Oaks Park
LosAngeles,17,West Hollywood|Toluca Lake|Sherman Oaks
LosAngeles,18,Carthay Circle|The Beverly Center|Century City|Beverly Grove|Cedars-Sinai|Westwood
LosAngeles,19,Santa Monica|Culver City|Los Angeles|Sunset Strip|Cheviot Hills|1936 Manning Avenue|UCLA|Mar Vista|Brentwood|Santa Monica Boulevard|Hollywood|Westwood|Century City Market Place
LosAngeles,2,Woodman|Universal Studios|Ventura Blvd|Beverly Hills|Hollywood|Coldwater canyon
LosAngeles,3, Los Feliz| Echo Park Avenue|Echo Park|Echo Park Lake| Montecito Heights|Downtown Los Angeles’|Chinatown| Midâ˜´City| Central LA| Atwater Village| Downtown| Hollywood and Glendale| Silver Lake| Cypress Park| Miracle Mile| Koreatown|Larchmont Village| Chinatown|Dodger Stadium| Northeast Los Angeles
LosAngeles,4,Burbank Airport|Disney Studios|Americana at Brand|Downtown LA|Glendale Galleria
LosAngeles,5,Korea Town|Beverly Hills|Farmers Market|The Finest Food & Entertainment Los Angeles|Hollywood|LARCHMONT VILLAGE|The Grove
LosAngeles,6,DTLA|Echo Park|Mid-City|Silver Lake|Sunset Blvd|Hollywood
LosAngeles,7,downtown Los Angeles|Downtown L.A.|Kodak Theatre|West Hollywood|Hollywood Blvd|Melrose|Hollywood
LosAngeles,8,Redondo Beach Pier area|2516 Matthews Ave.|Torrance Mall|Redondo Beach|Downtown Torrance
LosAngeles,9,Medical Center|Brentwood|Century City|Beverly Hills|UCLA|Westwood Village Shopping District|West Los Angeles|Bel Air|WESTWOOD VILLAGE APARTMENTS
NewYork,0,JEFFERSON STOP|Marie Hernandez Park
NewYork,1,Beverley Rd
NewYork,10,Prime Inwood|The Cloisters Museum
NewYork,11,Bushwick|The Knockdown Center|Jefferson Street|Morgan Avenue Dekalb Montrose|Ridgewood
NewYork,12,Fort Greene Park|Downtown Brooklyn|Clinton Hill|Manhattan
NewYork,13,Pratt university|Bedstuy area|Kosciousko st|Brooklyn|downtown Brooklyn|Fort Green park|Prospect park
NewYork,14,Central Riverdale|Montefiore|Manhattan College
NewYork,15,new utrecht|mapleton|Bensonhurst park|Bath beach|midwood|bensonhurst park|gravesend
NewYork,16,Wall Street|Financial District|TriBeCa|Lower Manhattan|Brooklyn|LES|SoHo|East Village|Stone Street|district of FiDi
NewYork,17,Central Park|Upper West|Columbus Avenue|Central Park West|West 74th Street
NewYork,18,neighborhood of Springdale|Norwalk|New Canaan|Greenwich|Danbury|Darien river|Fairfield County|Downtown Stamford|Westport|NYC|Westchester county|Darien
NewYork,19,NYC|Murray Hill|Union Square
NewYork,2,NYC|Nostrand|Barclays Center|Franklin
NewYork,3,Metropolitan Ave|Flushing Ave|Ridgewood|Bushwick|Queens Border east Williamsburg
NewYork,4,Greenpoint
NewYork,5,JMZ|Lorimer L|Sternberg Park|Broadway G
NewYork,6,Ocean Pkwy|Brighton Beach
NewYork,7,springdale|Springdale area
NewYork,8,E114th street|First Ave|Harlem block|Lexington|East River Plaza mall|Pleasant ave
NewYork,9,Summer Street|downtown Stamford
Richmond,0,Randolph Macon|town center
Richmond,1,Richmond VA|VCU Hospital|White Oak Villiage Shopping Center|Churchhill|Oakwood area|downtown|Oakwood Villas
Richmond,10,Laurel Pines Apartments|White Oak Mall|Downtown|Richmond Airport|Laurel Pines
Richmond,11,MCV|Church Hill Area
Richmond,12,Randolph Macon
Richmond,13,Westover Commons Apartments|Fort Lee|Walnut Hill area|Petersburg
Richmond,14,CBB|DLB|NY Deli|The Bryd|Sugar and Twine
Richmond,15,American Heritage Apartments|Richmond|VCU Medical|VCU|Virginia Union|University of Richmond
Richmond,16,Downtown|Scott's Addition|The Altamont|VCU
Richmond,17,Colonial Heights Apartments|Southpark Mall|Fort Lee|VSU
Richmond,18,Kent Road Village|Powhite Parkway|Chippenham Parkway|Kent Road
Richmond,19,Lakeside Elementary|Henrico County Schools|Hermitage Manor|West End|Central Henrico|Lakeside District
Richmond,2,BELMONT GULF COURSE|BELLEVUE|BRYAN PARK
Richmond,3,VCU Business School|VCU|MCV campus
Richmond,4,Powhatan State Park
Richmond,5,VA|VSU|Southpark Mall|Jefferson South of the James|Colonial Court|Colonial Court Townhomes|Colonial Heights|Virginia State University
Richmond,6,Carver Middle School|River Forest|Fort Lee|Ecoff Elementary School|L.C. Bird High School|downtown|Chester|River Forest Apartments
Richmond,7,Staples Mill|Parham|Broad street|Bethlehem and Glenside Drive|Park West End|Downtown|Short Pump|Glenside drive
Richmond,8,Richmond|Arts District|VCU|West Broad Street Apartments
Richmond,9,Innsbrook|downtown Richmond|The Legends|Henrico County School District|Virginia Center|North Western Henrico County|downtown|West End
Spokane,0,Downtown|south of Sherman|Sander's Beach
Spokane,1,DOWNTOWN|Spokane River|Spokane Falls Community College|downtown|Cowles Museum
Spokane,10,Sunset Elementary|Northern Quest Resort|Airway Heights|Fairchild Air Force Base|S. Beeman St.
Spokane,11,Spokane Comm College Area|Spokane River|Esmeralda Golf Course|I-90|Spokane Community College
Spokane,12,Liberty Lake
Spokane,13,North McGuire Road|Post Falls|2280 W. Compass Loop|Montrose|Montrose Apartments
Spokane,14,Spokane Convention Center|Riverfront Park|INB Performing Arts Center
Spokane,15,Black Bay|Coeur d Alene|Spokane|Centennial trail
Spokane,16,First Liberty Apartments|Liberty Lake|1-90|First Liberty|Centennial Trail
Spokane,17,downtown|Gonzaga|northtown|SFCC
Spokane,18,Evergreen|GRANITE POINTE II APARTMENT COMMUNITY|Granite Pointe II|I-90|MIRABEAU PARK|RIDE|Granite Pointe ll|Valley Mall|DISCOVERY PARK|Pines south|YMCA|Centennial Trail|EVERGREEN PARK
Spokane,19,downtown|Huckleberry's|Monroe|1218 W 10th
Spokane,2,Deer Creek Apartments|Spokane International Airport|Fairchild Air Force Base|Riverfront Park|Downton Spokane|Deer Creek
Spokane,3,Manito Park|South Hill|Pineview East Apartment Homes|Pineview Apartment
Spokane,4,South Hill
Spokane,5,Indian Trail Elementary|Five Mile Plaza|Indian Trail|Salk Jr. High|Shadle Park High
Spokane,6,Spokane Valley|Washington|Valley Mall|Centennial Trail|Industrial Park|Mirabeau park|Mirabeau
Spokane,7,PROVIDENCE|NORTHTOWN MALL
Spokane,8,Syringa Heights|Syringa Heights neighborhood|Schweitzer Mountain|Traver's Park|Waldorf School|North Idaho|downtown Sandpoint|Sandpoint West Athletic Club
Spokane,9,Huckleberry's|South Hill
